"施設名	",設置場所,所在地,緯度,経度
印西市役所本庁,１階総合案内付近,"	印西市大森2364-2	","35.832349	",140.145817
印旛支所（ふれあいセンターいんば）,"	１階ロビー	","印西市美瀬1-25	","35.779387	",140.204606
"本埜支所（保健センター含む）	","１階ロビー	","印西市笠神2587	","35.816732	",140.201524
"中央保健センター	","事務室窓口付近	",印西市大森2356-3,"	35.832447","	140.144328"
木下交流の杜歴史資料センター,"	事務室付近	","印西市木下1489-1	",35.838109,"	140.155273"
牧の原学校給食センター,"	事務室付近（※敷地内の無断立入り禁止）","印西市牧の原2-5	","35.8085	",140.154947
"印旛学校給食センター	","１階事務室付近（※敷地内の無断立入り禁止）	","印西市美瀬2-2	","35.784529	",140.209622
"大森図書館・ホール	",１階アトリウム（ロビー）,"	印西市大森2535	","35.833347	",140.145986
"小倉台図書館	","案内カウンター付近	","印西市小倉台4-5	","35.806067	",140.112474
"中央駅前地域交流館1号館	","１階ロビー	","印西市中央南1-2	",35.8003,"	140.119142"
牧の原出張所,"	事務室付近	","印西市原1-2	","35.803471	",140.165002
"小林コミュニティプラザ	","１階ロビー	","印西市小林北5-1-6	","35.83194	",140.19767
"本埜ファミリア館	","出張所及び子育て支援センター側通路	","印西市滝野3-4	","35.806654	",140.177643
そうふけふれあいの里,"	１階玄関付近","	印西市草深924","	35.795776","	140.151042"
"平賀出張所（構造改善センター）	","１階ホール	","印西市平賀928	","35.757403	",140.244933
"印旛歴史民俗資料館（岩戸出張所）	",１階事務室付近,"	印西市岩戸1699	",35.762805,"	140.166941"
"本埜公民館	",１階談話室付近,印西市中根1375,"	35.810149","	140.199623"
"総合福祉センター	",１階ロビー,"	印西市竹袋614-9	",35.832859,"	140.150507"
"保健福祉センター	",１階事務室付近,"	印西市高花2-1-5","	35.798042	",140.138841
中央公民館,"	１階ロビー","	印西市大森3934-1","	35.841431","	140.14663"
"そうふけ公民館	","１階エントランスホール	","印西市原3-4	","35.799681	",140.165233
"松山下公園総合体育館	",１階事務室付近,"	印西市浦部275	","35.82553	",140.1138
印旛公民館,"	１階ロビー	",印西市瀬戸1518,"	35.780376	",140.223053
内野保育園,"	職員室付近（※敷地内の無断立入り禁止）	","印西市内野1-12	","35.796794	",140.124443
木刈保育園,"	職員室付近（※敷地内の無断立入り禁止）	","印西市木刈6-23	","35.807788	",140.10447
"高花保育園	","職員室付近（※敷地内の無断立入り禁止）	","印西市高花1-10	","35.796746	",140.137303
西の原保育園,"	職員室付近（※敷地内の無断立入り禁止）	","印西市西の原3-7	","35.802952	",140.155192
もとの保育園,"	職員室付近（※敷地内の無断立入り禁止）	","印西市滝野3-2	","35.807511	",140.178356
"瀬戸幼稚園	",職員室付近（※敷地内の無断立入り禁止）,"	印西市瀬戸1580","	35.7773	",140.227412
"もとの幼稚園	","ぷれいるーむ付近（※敷地内の無断立入り禁止）	","印西市中根1403-10	",35.811204,"	140.199268"
木下小学校,"	１階昇降口付近（※敷地内の無断立入り禁止）","	印西市木下1502	","35.839008	",140.15443
小林小学校,"	職員室付近（※敷地内の無断立入り禁止）","	印西市小林2448-2","	35.831026","	140.18754"
"大森小学校	","職員室付近（※敷地内の無断立入り禁止）	","印西市大森3350	","35.836525	",140.14087
"船穂小学校	","職員室付近（※敷地内の無断立入り禁止）	","印西市船尾1292	",35.783391,"	140.129051"
"木刈小学校	",職員室付近（※敷地内の無断立入り禁止）,"	印西市木刈2-6","	35.810162	",140.107066
"内野小学校	","１階玄関付近（※敷地内の無断立入り禁止）	",印西市内野1-1,"	35.797402	",140.125281
"原山小学校	","職員室付近（※敷地内の無断立入り禁止）	","印西市原山3-4	","35.799266	",140.13026
小林北小学校,"	職員室付近（※敷地内の無断立入り禁止）	","印西市小林北5-1-5	","35.832097	",140.199022
小倉台小学校,"	１階玄関付近（※敷地内の無断立入り禁止）","	印西市小倉台2-3	","35.804269	",140.110045
"高花小学校	","職員室付近（※敷地内の無断立入り禁止）	","印西市高花2-4	","35.797177	",140.138453
"西の原小学校	","職員室付近（※敷地内の無断立入り禁止）	","印西市西の原2-7	","35.800311	",140.153282
"原小学校	",職員室付近（※敷地内の無断立入り禁止）,"	印西市原3-5	",35.799518,"	140.16374"
"六合小学校	",職員室付近（※敷地内の無断立入り禁止）,"	印西市瀬戸1580	","35.777671	",140.227734
"（旧）宗像小学校	",職員室付近（※敷地内の無断立入り禁止）,"	印西市岩戸1680","	35.762932","	140.168263"
"平賀小学校	",職員室付近（※敷地内の無断立入り禁止）,"	印西市平賀1161-2	",35.754849,"	140.246815"
いには野小学校,"１階西玄関付近（※敷地内の無断立入り禁止）	","印西市若萩3-9	","35.789731	",140.208274
本埜小学校,"	職員室付近（※敷地内の無断立入り禁止）","	印西市中根1281-2	","35.80637	",140.194941
（旧）本埜第二小学校,"	職員室付近（※敷地内の無断立入り禁止）","	印西市笠神1745	",35.82714,"	140.214965"
"滝野小学校	",１階玄関付近（※敷地内の無断立入り禁止）,"	印西市滝野5-1	","35.808444	",140.175862
牧の原小学校,"	職員室付近（※敷地内の無断立入り禁止）","	印西市牧の原3-1-1	","35.811459	",140.160613
印西中学校,"	職員室付近（※敷地内の無断立入り禁止）","	印西市大森2244","	35.828282	",140.148324
船穂中学校,"	職員室付近（※敷地内の無断立入り禁止）","印西市高花1-3	","35.794956	",140.132516
"木刈中学校	",玄関付近（※敷地内の無断立入り禁止）,"	印西市木刈2-1","	35.807072","	140.109968"
"小林中学校	","職員室付近（※敷地内の無断立入り禁止）	","印西市小林大門下1-4-1	","35.823229	",140.186539
原山中学校,"	職員室付近（※敷地内の無断立入り禁止）","	印西市原山1-2	","35.799296	",140.126585
西の原中学校,"	職員室付近（※敷地内の無断立入り禁止）	","印西市西の原1-3	","35.803203	",140.156367
"印旛中学校	","玄関付近（※敷地内の無断立入り禁止）	","印西市舞姫2-1-1	","35.784709	",140.20471
"本埜中学校	",昇降口付近（※敷地内の無断立入り禁止）,"	印西市笠神250	",35.81646,"	140.199015"
"滝野中学校	",職員室付近（※敷地内の無断立入り禁止）,"	印西市滝野5-2	","35.808142	",140.175092
"中央駅北コミュニティセンター（フレンドリープラザ）	",１階事務室付近,"	印西市木刈4-3-1	","35.809018	",140.104955
中央駅南コミュニティセンター（サザンプラザ）,１階事務室付近   ,印西市原山3-3,35.79879,140.129427
"永治コミュニティセンター	",サロン   ,印西市浦部411-3,35.825243,140.109113
船穂コミュニティセンター（出張所含む）,コミュニティセンター受付付近   ,印西市船尾786-1,35.78158,140.129417
